Max Length,mmap_lib,std
2,1.6854745000000002,1.8920720000000002
3,2.079426,0.8453121000000001
4,2.178586,0.8961457000000002
5,2.2163625,0.9473666000000002
6,2.2363530000000003,0.97763825
7,2.246868,1.0012913000000003
8,2.259563,1.0212590000000001
9,2.2641304999999994,1.032247
10,2.267378,1.0441509999999998
11,2.2695585,1.0628525000000002
12,2.268166,1.0797975000000002
13,2.2741875,1.0945605
14,2.2747460000000004,1.1068195
15,2.276179,1.1205004999999997
16,2.274289,1.1334159999999998
17,2.2668480000000004,1.1453315000000002
18,2.2715665,1.1597075
19,2.261842,1.1696859999999998
20,2.259875,1.1803195
21,2.253958,1.1916140000000002
22,2.2484865000000003,1.2029325
23,2.2490734999999993,1.2148404999999998
24,2.251922,1.2249265
25,2.2292425000000002,1.234385
26,2.2317115000000003,1.2433524999999999
27,2.2269620000000008,1.2529249999999998
28,2.2142215,1.2628455
29,2.2148389999999996,1.272647
30,2.211579,1.2813480000000004
31,2.2139185,1.2902625
32,2.1723645000000005,1.2974785
33,2.1754965000000004,1.305042
34,2.1824609999999995,1.3130335
35,2.1894965,1.3210199999999999
36,2.1931300000000005,1.3284870000000002
37,2.1887510000000003,1.3358605000000001
38,2.2030465,1.342445
39,2.2116295,1.3485140000000002
40,2.20866,1.355604
41,2.2084989999999998,1.3613025
42,2.2098714999999998,1.3698349999999997
43,2.1983995,1.3774645
44,2.146931,1.383494
45,2.1524539999999996,1.387733
46,2.1580665,1.394734
47,2.1732240000000003,1.4001995
48,2.173491,1.4042409999999999
49,2.181728,1.4105159999999999
50,2.1820219999999995,1.415713
